diseases,symptoms
Sjogren's Syndrome,Dry Eyes
Corneal Abrasion,Dry Eyes
Pink Eye,Dry Eyes
Blepharitis,Itching
Allergic Conjunctivitis,Itching
Sjogren's Syndrome,Itching
Corneal Abrasion,Itching
Pink Eye,Itching
Blepharitis,Burning Sensation
Allergic Conjunctivitis,Burning Sensation
Sjogren's Syndrome,Burning Sensation
Corneal Abrasion,Burning Sensation
Pink Eye,Burning Sensation
Blepharitis,Excessive Tearing
Allergic Conjunctivitis,Excessive Tearing
Sjogren's Syndrome,Excessive Tearing
Corneal Abrasion,Excessive Tearing
Pink Eye,Excessive Tearing
Blepharitis,Discharge
Allergic Conjunctivitis,Discharge
Sjogren's Syndrome,Discharge
Corneal Abrasion,Discharge
Pink Eye,Discharge
Retinitis Pigmentosa,Color Blindness
Optic Neuritis,Color Blindness
Retinal Detachment,Color Blindness
Glaucoma,Color Blindness
Cataracts,Color Blindness
Retinitis Pigmentosa,Tunnel Vision
Optic Neuritis,Tunnel Vision
Retinal Detachment,Tunnel Vision
Glaucoma,Tunnel Vision
Cataracts,Tunnel Vision
Retinitis Pigmentosa,Blurred Peripheral Vision
Optic Neuritis,Blurred Peripheral Vision
Retinal Detachment,Blurred Peripheral Vision
Glaucoma,Blurred Peripheral Vision
Cataracts,Blurred Peripheral Vision
Retinitis Pigmentosa,Difficulty Seeing in Low Light
Optic Neuritis,Difficulty Seeing in Low Light
Retinal Detachment,Difficulty Seeing in Low Light
Glaucoma,Difficulty Seeing in Low Light
Cataracts,Difficulty Seeing in Low Light
Retinitis Pigmentosa,Night Blindness
Optic Neuritis,Night Blindness
Retinal Detachment,Night Blindness
Glaucoma,Night Blindness
Cataracts,Night Blindness
Bell's Palsy,Eye Twitching
Myasthenia Gravis,Eye Twitching
Multiple Sclerosis,Eye Twitching
Migraine,Eye Twitching
Brain Tumor,Eye Twitching
Bell's Palsy,Drooping Eyelid
Myasthenia Gravis,Drooping Eyelid
Multiple Sclerosis,Drooping Eyelid
Migraine,Drooping Eyelid
Brain Tumor,Drooping Eyelid
Bell's Palsy,Blurred Vision
Myasthenia Gravis,Blurred Vision
Multiple Sclerosis,Blurred Vision
Migraine,Blurred Vision
Brain Tumor,Blurred Vision
Bell's Palsy,Headache
Myasthenia Gravis,Headache
Multiple Sclerosis,Headache
Migraine,Headache
Brain Tumor,Headache
Bell's Palsy,Nausea
Myasthenia Gravis,Nausea
Multiple Sclerosis,Nausea
Migraine,Nausea
Brain Tumor,Nausea
Otitis Media,Earache
Swimmer's Ear,Earache
Meniere's Disease,Earache
Otitis Media,Hearing Loss
Swimmer's Ear,Hearing Loss
Meniere's Disease,Hearing Loss
Labyrinthitis,Tinnitus
Acoustic Neuroma,Tinnitus
Temporomandibular Joint Disorder,Tinnitus
Labyrinthitis,Vertigo
Acoustic Neuroma,Vertigo
Temporomandibular Joint Disorder,Vertigo
Cholesteatoma,Ear Discharge
Otitis Externa,Ear Discharge
Allergic Rhinitis,Ear Discharge
Cholesteatoma,Itching
Otitis Externa,Itching
Allergic Rhinitis,Itching
Eustachian Tube Dysfunction,Ear Fullness
Noise-induced Hearing Loss,Ear Fullness
Earwax Blockage,Ear Fullness
Eustachian Tube Dysfunction,Ringing in Ears
Noise-induced Hearing Loss,Ringing in Ears
Earwax Blockage,Ringing in Ears
Bell's Palsy,Facial Numbness
Temporal Arteritis,Facial Numbness
Migraine,Facial Numbness
Bell's Palsy,Headache
Temporal Arteritis,Headache
Migraine,Headache
Urinary Tract Infection,Frequent urination
Kidney Stones,Frequent urination
Polycystic Kidney Disease,Frequent urination
Urinary Tract Infection,Back pain
Kidney Stones,Back pain
Polycystic Kidney Disease,Back pain
Urinary Tract Infection,Loss of appetite
Kidney Stones,Loss of appetite
Polycystic Kidney Disease,Loss of appetite
Chronic Kidney Disease,Swelling in legs
Glomerulonephritis,Swelling in legs
Diabetic Nephropathy,Swelling in legs
Chronic Kidney Disease,Nausea
Glomerulonephritis,Nausea
Diabetic Nephropathy,Nausea
Chronic Kidney Disease,High blood pressure
Glomerulonephritis,High blood pressure
Diabetic Nephropathy,High blood pressure
Kidney Infection,Dark urine
Lupus Nephritis,Dark urine
IgA Nephropathy,Dark urine
Kidney Infection,Fatigue
Lupus Nephritis,Fatigue
IgA Nephropathy,Fatigue
Kidney Infection,Headaches
Lupus Nephritis,Headaches
IgA Nephropathy,Headaches
Acute Kidney Failure,Muscle cramps
Chronic Pyelonephritis,Muscle cramps
Renal Tubular Acidosis,Muscle cramps
Acute Kidney Failure,Difficulty concentrating
Chronic Pyelonephritis,Difficulty concentrating
Renal Tubular Acidosis,Difficulty concentrating
Acute Kidney Failure,Metallic taste in mouth
Chronic Pyelonephritis,Metallic taste in mouth
Renal Tubular Acidosis,Metallic taste in mouth
Nephrotic Syndrome,Swollen face
Alport Syndrome,Swollen face
Amyloidosis,Swollen face
Nephrotic Syndrome,Anemia
Alport Syndrome,Anemia
Amyloidosis,Anemia
Nephrotic Syndrome,Itchy skin
Alport Syndrome,Itchy skin
Amyloidosis,Itchy skin
Hepatitis A,Jaundice
Hepatitis B,Jaundice
Hepatitis C,Jaundice
Hepatitis A,Nausea
Hepatitis B,Nausea
Hepatitis C,Nausea
Hepatitis A,Loss of Appetite
Hepatitis B,Loss of Appetite
Hepatitis C,Loss of Appetite
Cholangitis,Abdominal Pain
Cirrhosis,Abdominal Pain
Liver Abscess,Abdominal Pain
Cholangitis,Vomiting
Cirrhosis,Vomiting
Liver Abscess,Vomiting
Cholangitis,Fever
Cirrhosis,Fever
Liver Abscess,Fever
Hepatocellular Carcinoma,Weight Loss
Primary Biliary Cholangitis,Weight Loss
Primary Sclerosing Cholangitis,Weight Loss
Hepatocellular Carcinoma,Weakness
Primary Biliary Cholangitis,Weakness
Primary Sclerosing Cholangitis,Weakness
Hepatocellular Carcinoma,Itchy Skin
Primary Biliary Cholangitis,Itchy Skin
Primary Sclerosing Cholangitis,Itchy Skin
Cirrhosis,Swollen Abdomen
Alcoholic Hepatitis,Swollen Abdomen
Wilson's Disease,Swollen Abdomen
Cirrhosis,Dark Urine
Alcoholic Hepatitis,Dark Urine
Wilson's Disease,Dark Urine
Cirrhosis,Clay-colored Stool
Alcoholic Hepatitis,Clay-colored Stool
Wilson's Disease,Clay-colored Stool
Hepatic Encephalopathy,Confusion
Hepatopulmonary Syndrome,Confusion
Budd-Chiari Syndrome,Confusion
Hepatic Encephalopathy,Drowsiness
Hepatopulmonary Syndrome,Drowsiness
Budd-Chiari Syndrome,Drowsiness
Hepatic Encephalopathy,Muscle Tremors
Hepatopulmonary Syndrome,Muscle Tremors
Budd-Chiari Syndrome,Muscle Tremors
Gonorrhea,Painful urination
Chlamydia,Painful urination
Syphilis,Painful urination
Gonorrhea,Abnormal discharge
Chlamydia,Abnormal discharge
Syphilis,Abnormal discharge
Gonorrhea,Genital sores
Chlamydia,Genital sores
Syphilis,Genital sores
Genital herpes,Bumps or sores on genitals
HIV,Bumps or sores on genitals
Zika virus,Bumps or sores on genitals
Genital herpes,Fever
HIV,Fever
Zika virus,Fever
Genital herpes,Headache
HIV,Headache
Zika virus,Headache
Pelvic inflammatory disease,Abdominal pain
Gonorrhea,Abdominal pain
Chlamydia,Abdominal pain
Pelvic inflammatory disease,Vaginal bleeding
Gonorrhea,Vaginal bleeding
Chlamydia,Vaginal bleeding
Pelvic inflammatory disease,Pain during sex
Gonorrhea,Pain during sex
Chlamydia,Pain during sex
Hemorrhoids,Anal itching
Anal fissures,Anal itching
Syphilis,Anal itching
Hemorrhoids,Rectal bleeding
Anal fissures,Rectal bleeding
Syphilis,Rectal bleeding
Hemorrhoids,Painful bowel movements
Anal fissures,Painful bowel movements
Syphilis,Painful bowel movements
Trichomoniasis,Painful intercourse
Bacterial vaginosis,Painful intercourse
Chlamydia,Painful intercourse
Trichomoniasis,Vaginal itching
Bacterial vaginosis,Vaginal itching
Chlamydia,Vaginal itching
Trichomoniasis,Vaginal discharge
Bacterial vaginosis,Vaginal discharge
Chlamydia,Vaginal discharge
Anemia,Fatigue
Iron Deficiency,Fatigue
Vitamin B12 Deficiency,Fatigue
Folate Deficiency,Fatigue
Hemolytic Anemia,Fatigue
Anemia,Weakness
Iron Deficiency,Weakness
Vitamin B12 Deficiency,Weakness
Folate Deficiency,Weakness
Hemolytic Anemia,Weakness
Anemia,Dizziness
Iron Deficiency,Dizziness
Vitamin B12 Deficiency,Dizziness
Folate Deficiency,Dizziness
Hemolytic Anemia,Dizziness
Anemia,Shortness of Breath
Iron Deficiency,Shortness of Breath
Vitamin B12 Deficiency,Shortness of Breath
Folate Deficiency,Shortness of Breath
Hemolytic Anemia,Shortness of Breath
Anemia,Pale Skin
Iron Deficiency,Pale Skin
Vitamin B12 Deficiency,Pale Skin
Folate Deficiency,Pale Skin
Hemolytic Anemia,Pale Skin
Electrolyte Imbalance,Muscle Cramps
Vitamin D Deficiency,Muscle Cramps
Vitamin B1 Deficiency,Muscle Cramps
Vitamin B6 Deficiency,Muscle Cramps
Vitamin B9 Deficiency,Muscle Cramps
Electrolyte Imbalance,Numbness
Vitamin D Deficiency,Numbness
Vitamin B1 Deficiency,Numbness
Vitamin B6 Deficiency,Numbness
Vitamin B9 Deficiency,Numbness
Electrolyte Imbalance,Tingling Sensation
Vitamin D Deficiency,Tingling Sensation
Vitamin B1 Deficiency,Tingling Sensation
Vitamin B6 Deficiency,Tingling Sensation
Vitamin B9 Deficiency,Tingling Sensation
Electrolyte Imbalance,Confusion
Vitamin D Deficiency,Confusion
Vitamin B1 Deficiency,Confusion
Vitamin B6 Deficiency,Confusion
Vitamin B9 Deficiency,Confusion
Electrolyte Imbalance,Irregular Heartbeat
Vitamin D Deficiency,Irregular Heartbeat
Vitamin B1 Deficiency,Irregular Heartbeat
Vitamin B6 Deficiency,Irregular Heartbeat
Vitamin B9 Deficiency,Irregular Heartbeat
Iron Deficiency,Hair Loss
Zinc Deficiency,Hair Loss
Vitamin C Deficiency,Hair Loss
Vitamin B3 Deficiency,Hair Loss
Vitamin B7 Deficiency,Hair Loss
Iron Deficiency,Brittle Nails
Zinc Deficiency,Brittle Nails
Vitamin C Deficiency,Brittle Nails
Vitamin B3 Deficiency,Brittle Nails
Vitamin B7 Deficiency,Brittle Nails
Iron Deficiency,Dry Skin
Zinc Deficiency,Dry Skin
Vitamin C Deficiency,Dry Skin
Vitamin B3 Deficiency,Dry Skin
Vitamin B7 Deficiency,Dry Skin
Iron Deficiency,Mouth Ulcers
Zinc Deficiency,Mouth Ulcers
Vitamin C Deficiency,Mouth Ulcers
Vitamin B3 Deficiency,Mouth Ulcers
Vitamin B7 Deficiency,Mouth Ulcers
Iron Deficiency,Difficulty Swallowing
Zinc Deficiency,Difficulty Swallowing
Vitamin C Deficiency,Difficulty Swallowing
Vitamin B3 Deficiency,Difficulty Swallowing
Vitamin B7 Deficiency,Difficulty Swallowing
Vitamin K Deficiency,Poor Wound Healing
Vitamin C Deficiency,Poor Wound Healing
Vitamin D Deficiency,Poor Wound Healing
Vitamin B6 Deficiency,Poor Wound Healing
Vitamin B12 Deficiency,Poor Wound Healing
Vitamin K Deficiency,Easy Bruising
Vitamin C Deficiency,Easy Bruising
Vitamin D Deficiency,Easy Bruising
Vitamin B6 Deficiency,Easy Bruising
Vitamin B12 Deficiency,Easy Bruising
Vitamin K Deficiency,Gum Bleeding
Vitamin C Deficiency,Gum Bleeding
Vitamin D Deficiency,Gum Bleeding
Vitamin B6 Deficiency,Gum Bleeding
Vitamin B12 Deficiency,Gum Bleeding
Vitamin K Deficiency,Joint Pain
Vitamin C Deficiency,Joint Pain
Vitamin D Deficiency,Joint Pain
Vitamin B6 Deficiency,Joint Pain
Vitamin B12 Deficiency,Joint Pain
Vitamin K Deficiency,Bone Pain
Vitamin C Deficiency,Bone Pain
Vitamin D Deficiency,Bone Pain
Vitamin B6 Deficiency,Bone Pain
Vitamin B12 Deficiency,Bone Pain
Vitamin A Deficiency,Night Blindness
Vitamin E Deficiency,Night Blindness
Vitamin D Deficiency,Night Blindness
Vitamin B7 Deficiency,Night Blindness
Iron Deficiency,Night Blindness
Vitamin A Deficiency,Dry Eyes
Vitamin E Deficiency,Dry Eyes
Vitamin D Deficiency,Dry Eyes
Vitamin B7 Deficiency,Dry Eyes
Iron Deficiency,Dry Eyes
Vitamin A Deficiency,Dry Skin
Vitamin E Deficiency,Dry Skin
Vitamin D Deficiency,Dry Skin
Vitamin B7 Deficiency,Dry Skin
Iron Deficiency,Dry Skin
Vitamin A Deficiency,Dry Hair
Vitamin E Deficiency,Dry Hair
Vitamin D Deficiency,Dry Hair
Vitamin B7 Deficiency,Dry Hair
Iron Deficiency,Dry Hair
Vitamin A Deficiency,Infertility
Vitamin E Deficiency,Infertility
Vitamin D Deficiency,Infertility
Vitamin B7 Deficiency,Infertility
Iron Deficiency,Infertility
Migraine,Severe Headache
Glaucoma,Severe Headache
Brain Tumor,Severe Headache
Migraine,Vision Loss
Glaucoma,Vision Loss
Brain Tumor,Vision Loss
Migraine,Nausea
Glaucoma,Nausea
Brain Tumor,Nausea
Lupus,Muscle Weakness
Rheumatoid Arthritis,Muscle Weakness
Lyme Disease,Muscle Weakness
Lupus,Joint Pain
Rheumatoid Arthritis,Joint Pain
Lyme Disease,Joint Pain
Lupus,Skin Rash
Rheumatoid Arthritis,Skin Rash
Lyme Disease,Skin Rash
Amyotrophic Lateral Sclerosis,Difficulty Swallowing
Multiple Sclerosis,Difficulty Swallowing
Guillain-Barre Syndrome,Difficulty Swallowing
Amyotrophic Lateral Sclerosis,Muscle Cramps
Multiple Sclerosis,Muscle Cramps
Guillain-Barre Syndrome,Muscle Cramps
Amyotrophic Lateral Sclerosis,Weakness
Multiple Sclerosis,Weakness
Guillain-Barre Syndrome,Weakness
Crohn's Disease,Abdominal Pain
Irritable Bowel Syndrome,Abdominal Pain
Celiac Disease,Abdominal Pain
Crohn's Disease,Diarrhea
Irritable Bowel Syndrome,Diarrhea
Celiac Disease,Diarrhea
Crohn's Disease,Fatigue
Irritable Bowel Syndrome,Fatigue
Celiac Disease,Fatigue
Multiple Sclerosis,Numbness
Peripheral Neuropathy,Numbness
Parkinson's Disease,Numbness
Multiple Sclerosis,Tingling Sensation
Peripheral Neuropathy,Tingling Sensation
Parkinson's Disease,Tingling Sensation
Multiple Sclerosis,Difficulty Balancing
Peripheral Neuropathy,Difficulty Balancing
Parkinson's Disease,Difficulty Balancing
Generalized Anxiety Disorder,Insomnia
Depression,Insomnia
Sleep Apnea,Insomnia
Restless Leg Syndrome,Insomnia
Generalized Anxiety Disorder,Restlessness
Depression,Restlessness
Sleep Apnea,Restlessness
Restless Leg Syndrome,Restlessness
Generalized Anxiety Disorder,Difficulty falling asleep
Depression,Difficulty falling asleep
Sleep Apnea,Difficulty falling asleep
Restless Leg Syndrome,Difficulty falling asleep
Generalized Anxiety Disorder,Anxiety
Depression,Anxiety
Sleep Apnea,Anxiety
Restless Leg Syndrome,Anxiety
Obstructive Sleep Apnea,Excessive daytime sleepiness
Chronic Fatigue Syndrome,Excessive daytime sleepiness
Narcolepsy,Excessive daytime sleepiness
Hypersomnia,Excessive daytime sleepiness
Obstructive Sleep Apnea,Snoring
Chronic Fatigue Syndrome,Snoring
Narcolepsy,Snoring
Hypersomnia,Snoring
Obstructive Sleep Apnea,Gasping for air during sleep
Chronic Fatigue Syndrome,Gasping for air during sleep
Narcolepsy,Gasping for air during sleep
Hypersomnia,Gasping for air during sleep
Obstructive Sleep Apnea,Morning headaches
Chronic Fatigue Syndrome,Morning headaches
Narcolepsy,Morning headaches
Hypersomnia,Morning headaches
Post-Traumatic Stress Disorder,Frequent nightmares
Night Eating Syndrome,Frequent nightmares
REM Sleep Behavior Disorder,Frequent nightmares
Anxiety,Frequent nightmares
Post-Traumatic Stress Disorder,Difficulty staying asleep
Night Eating Syndrome,Difficulty staying asleep
REM Sleep Behavior Disorder,Difficulty staying asleep
Anxiety,Difficulty staying asleep
Post-Traumatic Stress Disorder,Night terrors
Night Eating Syndrome,Night terrors
REM Sleep Behavior Disorder,Night terrors
Anxiety,Night terrors
Post-Traumatic Stress Disorder,Sleepwalking
Night Eating Syndrome,Sleepwalking
REM Sleep Behavior Disorder,Sleepwalking
Anxiety,Sleepwalking
Narcolepsy,Excessive sleepiness during the day
Obstructive Sleep Apnea,Excessive sleepiness during the day
Restless Leg Syndrome,Excessive sleepiness during the day
Attention Deficit Hyperactivity Disorder,Excessive sleepiness during the day
Narcolepsy,Loud snoring
Obstructive Sleep Apnea,Loud snoring
Restless Leg Syndrome,Loud snoring
Attention Deficit Hyperactivity Disorder,Loud snoring
Narcolepsy,Difficulty concentrating
Obstructive Sleep Apnea,Difficulty concentrating
Restless Leg Syndrome,Difficulty concentrating
Attention Deficit Hyperactivity Disorder,Difficulty concentrating
Narcolepsy,Feeling irritable
Obstructive Sleep Apnea,Feeling irritable
Restless Leg Syndrome,Feeling irritable
Attention Deficit Hyperactivity Disorder,Feeling irritable
Narcolepsy,Difficulty staying awake during the day
Insomnia,Difficulty staying awake during the day
Obstructive Sleep Apnea,Difficulty staying awake during the day
Chronic Fatigue Syndrome,Difficulty staying awake during the day
Narcolepsy,Difficulty staying asleep
Insomnia,Difficulty staying asleep
Obstructive Sleep Apnea,Difficulty staying asleep
Chronic Fatigue Syndrome,Difficulty staying asleep
Narcolepsy,Loud snoring
Insomnia,Loud snoring
Obstructive Sleep Apnea,Loud snoring
Chronic Fatigue Syndrome,Loud snoring
Narcolepsy,Fatigue
Insomnia,Fatigue
Obstructive Sleep Apnea,Fatigue
Chronic Fatigue Syndrome,Fatigue
Type 1 Diabetes,Excessive Thirst
Type 2 Diabetes,Excessive Thirst
Gestational Diabetes,Excessive Thirst
LADA,Excessive Thirst
MODY,Excessive Thirst
Type 1 Diabetes,Frequent Urination
Type 2 Diabetes,Frequent Urination
Gestational Diabetes,Frequent Urination
LADA,Frequent Urination
MODY,Frequent Urination
Type 1 Diabetes,Fatigue
Type 2 Diabetes,Fatigue
Gestational Diabetes,Fatigue
LADA,Fatigue
MODY,Fatigue
Type 1 Diabetes,Blurred Vision
Type 2 Diabetes,Blurred Vision
Gestational Diabetes,Blurred Vision
LADA,Blurred Vision
MODY,Blurred Vision
Type 1 Diabetes,Unintentional Weight Loss
Type 2 Diabetes,Unintentional Weight Loss
Gestational Diabetes,Unintentional Weight Loss
LADA,Unintentional Weight Loss
MODY,Unintentional Weight Loss
Hepatitis A,Abdominal Pain
Hepatitis B,Abdominal Pain
Hepatitis C,Abdominal Pain
Alcoholic Liver Disease,Abdominal Pain
Cirrhosis,Abdominal Pain
Hepatitis A,Nausea
Hepatitis B,Nausea
Hepatitis C,Nausea
Alcoholic Liver Disease,Nausea
Cirrhosis,Nausea
Hepatitis A,Vomiting
Hepatitis B,Vomiting
Hepatitis C,Vomiting
Alcoholic Liver Disease,Vomiting
Cirrhosis,Vomiting
Hepatitis A,Yellowing of Skin
Hepatitis B,Yellowing of Skin
Hepatitis C,Yellowing of Skin
Alcoholic Liver Disease,Yellowing of Skin
Cirrhosis,Yellowing of Skin
Hepatitis A,Fatigue
Hepatitis B,Fatigue
Hepatitis C,Fatigue
Alcoholic Liver Disease,Fatigue
Cirrhosis,Fatigue
Hypothyroidism,Muscle Weakness
Hashimoto's Disease,Muscle Weakness
Cushing's Syndrome,Muscle Weakness
Polycystic Ovary Syndrome,Muscle Weakness
Diabetes Insipidus,Muscle Weakness
Hypothyroidism,Weight Gain
Hashimoto's Disease,Weight Gain
Cushing's Syndrome,Weight Gain
Polycystic Ovary Syndrome,Weight Gain
Diabetes Insipidus,Weight Gain
Hypothyroidism,Constipation
Hashimoto's Disease,Constipation
Cushing's Syndrome,Constipation
Polycystic Ovary Syndrome,Constipation
Diabetes Insipidus,Constipation
Hypothyroidism,Cold Intolerance
Hashimoto's Disease,Cold Intolerance
Cushing's Syndrome,Cold Intolerance
Polycystic Ovary Syndrome,Cold Intolerance
Diabetes Insipidus,Cold Intolerance
Hypothyroidism,Dry Skin
Hashimoto's Disease,Dry Skin
Cushing's Syndrome,Dry Skin
Polycystic Ovary Syndrome,Dry Skin
Diabetes Insipidus,Dry Skin
Hyperglycemic Hyperosmolar Nonketotic Syndrome,Confusion
Diabetic Ketoacidosis,Confusion
Diabetic Hypoglycemia,Confusion
Diabetic Retinopathy,Confusion
Diabetic Neuropathy,Confusion
Hyperglycemic Hyperosmolar Nonketotic Syndrome,Headache
Diabetic Ketoacidosis,Headache
Diabetic Hypoglycemia,Headache
Diabetic Retinopathy,Headache
Diabetic Neuropathy,Headache
Hyperglycemic Hyperosmolar Nonketotic Syndrome,Blurry Vision
Diabetic Ketoacidosis,Blurry Vision
Diabetic Hypoglycemia,Blurry Vision
Diabetic Retinopathy,Blurry Vision
Diabetic Neuropathy,Blurry Vision
Hyperglycemic Hyperosmolar Nonketotic Syndrome,Nausea
Diabetic Ketoacidosis,Nausea
Diabetic Hypoglycemia,Nausea
Diabetic Retinopathy,Nausea
Diabetic Neuropathy,Nausea
Hyperglycemic Hyperosmolar Nonketotic Syndrome,Vomiting
Diabetic Ketoacidosis,Vomiting
Diabetic Hypoglycemia,Vomiting
Diabetic Retinopathy,Vomiting
Diabetic Neuropathy,Vomiting
Chronic Kidney Disease,Frequent Urination
Diabetic Nephropathy,Frequent Urination
Polycystic Kidney Disease,Frequent Urination
Nephrotic Syndrome,Frequent Urination
Acute Kidney Failure,Frequent Urination
Chronic Kidney Disease,Excessive Thirst
Diabetic Nephropathy,Excessive Thirst
Polycystic Kidney Disease,Excessive Thirst
Nephrotic Syndrome,Excessive Thirst
Acute Kidney Failure,Excessive Thirst
Chronic Kidney Disease,Fatigue
Diabetic Nephropathy,Fatigue
Polycystic Kidney Disease,Fatigue
Nephrotic Syndrome,Fatigue
Acute Kidney Failure,Fatigue
Chronic Kidney Disease,Nausea
Diabetic Nephropathy,Nausea
Polycystic Kidney Disease,Nausea
Nephrotic Syndrome,Nausea
Acute Kidney Failure,Nausea
Chronic Kidney Disease,Vomiting
Diabetic Nephropathy,Vomiting
Polycystic Kidney Disease,Vomiting
Nephrotic Syndrome,Vomiting
Acute Kidney Failure,Vomiting
Cavities,Toothache
Gingivitis,Toothache
Periodontitis,Toothache
Cavities,Sensitive Teeth
Gingivitis,Sensitive Teeth
Periodontitis,Sensitive Teeth
Cavities,Bleeding Gums
Gingivitis,Bleeding Gums
Periodontitis,Bleeding Gums
TMJ Disorder,Difficulty Chewing
Halitosis,Difficulty Chewing
Periodontal Disease,Difficulty Chewing
TMJ Disorder,Bad Breath
Halitosis,Bad Breath
Periodontal Disease,Bad Breath
TMJ Disorder,Jaw Pain
Halitosis,Jaw Pain
Periodontal Disease,Jaw Pain
Tooth Erosion,Tooth Sensitivity
Oral Thrush,Tooth Sensitivity
Sjogren's Syndrome,Tooth Sensitivity
Tooth Erosion,Mouth Sores
Oral Thrush,Mouth Sores
Sjogren's Syndrome,Mouth Sores
Tooth Erosion,Dry Mouth
Oral Thrush,Dry Mouth
Sjogren's Syndrome,Dry Mouth
Gum Disease,Loose Teeth
Tooth Abscess,Loose Teeth
Oral Cancer,Loose Teeth
Gum Disease,Tooth Discoloration
Tooth Abscess,Tooth Discoloration
Oral Cancer,Tooth Discoloration
Gum Disease,Swollen Gums
Tooth Abscess,Swollen Gums
Oral Cancer,Swollen Gums
Temporomandibular Joint Disorder,Tooth Mobility
Throat Infection,Tooth Mobility
Metal Poisoning,Tooth Mobility
Temporomandibular Joint Disorder,Difficulty Swallowing
Throat Infection,Difficulty Swallowing
Metal Poisoning,Difficulty Swallowing
Temporomandibular Joint Disorder,Metallic Taste in Mouth
Throat Infection,Metallic Taste in Mouth
Metal Poisoning,Metallic Taste in Mouth
Down Syndrome,Difficulty with learning
Fragile X Syndrome,Difficulty with learning
Fetal Alcohol Syndrome,Difficulty with learning
Down Syndrome,Poor social skills
Fragile X Syndrome,Poor social skills
Fetal Alcohol Syndrome,Poor social skills
Down Syndrome,Slow development
Fragile X Syndrome,Slow development
Fetal Alcohol Syndrome,Slow development
Cerebral Palsy,Intellectual disability
Autism Spectrum Disorder,Intellectual disability
Rett Syndrome,Intellectual disability
Cerebral Palsy,Speech delay
Autism Spectrum Disorder,Speech delay
Rett Syndrome,Speech delay
Cerebral Palsy,Impaired motor skills
Autism Spectrum Disorder,Impaired motor skills
Rett Syndrome,Impaired motor skills
Alzheimer's Disease,Memory problems
Lewy Body Dementia,Memory problems
Frontotemporal Dementia,Memory problems
Alzheimer's Disease,Difficulty with problem-solving
Lewy Body Dementia,Difficulty with problem-solving
Frontotemporal Dementia,Difficulty with problem-solving
Alzheimer's Disease,Impulsivity
Lewy Body Dementia,Impulsivity
Frontotemporal Dementia,Impulsivity
Attention Deficit Hyperactivity Disorder,Hyperactivity
Oppositional Defiant Disorder,Hyperactivity
Conduct Disorder,Hyperactivity
Attention Deficit Hyperactivity Disorder,Inattention
Oppositional Defiant Disorder,Inattention
Conduct Disorder,Inattention
Attention Deficit Hyperactivity Disorder,Impulsivity
Oppositional Defiant Disorder,Impulsivity
Conduct Disorder,Impulsivity
Intellectual Disability,Anxiety
Schizophrenia,Anxiety
Bipolar Disorder,Anxiety
Intellectual Disability,Depression
Schizophrenia,Depression
Bipolar Disorder,Depression
Intellectual Disability,Low self-esteem
Schizophrenia,Low self-esteem
Bipolar Disorder,Low self-esteem
Cocaine Use Disorder,Loss of appetite
Amphetamine Use Disorder,Loss of appetite
Opioid Use Disorder,Loss of appetite
Cocaine Use Disorder,Insomnia
Amphetamine Use Disorder,Insomnia
Opioid Use Disorder,Insomnia
Cocaine Use Disorder,Agitation
Amphetamine Use Disorder,Agitation
Opioid Use Disorder,Agitation
Alcohol Use Disorder,Nausea
Cannabis Use Disorder,Nausea
Benzodiazepine Use Disorder,Nausea
Alcohol Use Disorder,Vomiting
Cannabis Use Disorder,Vomiting
Benzodiazepine Use Disorder,Vomiting
Alcohol Use Disorder,Tremors
Cannabis Use Disorder,Tremors
Benzodiazepine Use Disorder,Tremors
Alcohol Withdrawal,Irritability
Benzodiazepine Withdrawal,Irritability
Opioid Withdrawal,Irritability
Alcohol Withdrawal,Memory loss
Benzodiazepine Withdrawal,Memory loss
Opioid Withdrawal,Memory loss
Alcohol Withdrawal,Confusion
Benzodiazepine Withdrawal,Confusion
Opioid Withdrawal,Confusion
Opioid Overdose,Muscle cramps
Alcohol Poisoning,Muscle cramps
Barbiturate Overdose,Muscle cramps
Opioid Overdose,Headache
Alcohol Poisoning,Headache
Barbiturate Overdose,Headache
Opioid Overdose,Seizures
Alcohol Poisoning,Seizures
Barbiturate Overdose,Seizures
Amphetamine-induced Psychotic Disorder,Hallucinations
Cannabis-induced Psychotic Disorder,Hallucinations
Cocaine-induced Psychotic Disorder,Hallucinations
Amphetamine-induced Psychotic Disorder,Paranoia
Cannabis-induced Psychotic Disorder,Paranoia
Cocaine-induced Psychotic Disorder,Paranoia
Amphetamine-induced Psychotic Disorder,Delusions
Cannabis-induced Psychotic Disorder,Delusions
Cocaine-induced Psychotic Disorder,Delusions
Alzheimer's disease,Memory loss
Parkinson's disease,Memory loss
Multiple sclerosis,Memory loss
Alzheimer's disease,Difficulty walking
Parkinson's disease,Difficulty walking
Multiple sclerosis,Difficulty walking
Alzheimer's disease,Tremors
Parkinson's disease,Tremors
Multiple sclerosis,Tremors
Amyotrophic lateral sclerosis,Muscle weakness
Myasthenia gravis,Muscle weakness
Muscular dystrophy,Muscle weakness
Amyotrophic lateral sclerosis,Twitching
Myasthenia gravis,Twitching
Muscular dystrophy,Twitching
Amyotrophic lateral sclerosis,Vision problems
Myasthenia gravis,Vision problems
Muscular dystrophy,Vision problems
Multiple sclerosis,Numbness
Guillain-Barre syndrome,Numbness
